				Main Stats										TM #																
Volt Switch	521	Electric	Special	20	32	70	100%	4.17	0	Selected										72	72	72	72			80		43		48
Struggle Bug	522	Bug	Special	20	32	50	100%	4.17	0	Adjacent Foes	Lowers Foe's Sp. Atk by 1		100%							76	76	76								15
Bulldoze	523	Ground	Physical	20	32	60	100%	4.17	0	All Adjacent	Lowers Foe's Spd by 1		100%							78	78	78	78			81		83		28
Frost Breath	524	Ice	Special	10	16	60	90%	100	0	Selected										79	79	79	79							
Dragon Tail	525	Dragon	Physical	10	16	60	90%	4.17	-6	Selected	Foe Switches Out		100%							82	82	82	82		17					44
Work Up	526	Normal	Status	30	48	0	101%	None	0	Selected	Raises User's Atk and Sp. Atk by 1		100%							83			1				85	10		
Electroweb	527	Electric	Special	15	24	55	95%	4.17	0	Adjacent Foes	Lowers Foe's Spd by 1		100%													82				211
Wild Charge	528	Electric	Physical	15	24	90	100%	4.17	0	Selected										93	93	93	93				86			147
Drill Run	529	Ground	Physical	10	16	80	95%	12.5	0	Selected															58		87			106
Dual Chop	530	Dragon	Physical	15	24	40	90%	4.17	0	Selected	Hits 2 Times		100%																	
Heart Stamp	531	Psychic	Physical	25	40	60	100%	4.17	0	Selected	Flinches Foe		30%																	
Horn Leech	532	Grass	Physical	10	16	75	100%	4.17	0	Selected	50% Lifesteal		100%																	
Sacred Sword	533	Fighting	Physical	15	24	90	100%	4.17	0	Selected																				
Razor Shell	534	Water	Physical	10	16	75	95%	4.17	0	Selected	Lowers Foe's Def by 1		50%													83				
Heat Crash	535	Fire	Physical	10	16	0	100%	4.17	0	Selected	Power Increases the Heavier the User is than the Foe		100%														88			189
Leaf Tornado	536	Grass	Special	10	16	65	90%	4.17	0	Selected	Lowers Foe's Accuracy by 1		30%																	
Steamroller	537	Bug	Physical	20	32	65	100%	4.17	0	Selected	Flinches Foe		30%																	
Cotton Guard	538	Grass	Status	10	16	0	101%	None	0	Selected	Raises User's Def by 3		100%																	
Night Daze	539	Dark	Special	10	16	85	95%	4.17	0	Selected	Lowers Foe's Accuracy by 1		40%																	
Psystrike	540	Psychic	Special	10	16	100	100%	4.17	0	Selected																				
Tail Slap	541	Normal	Physical	10	16	25	85%	4.17	0	Selected	HIts 2-5 Times		100%													84				
Hurricane	542	Flying	Special	10	16	110	70%	4.17	0	Selected	100% Accuracy in Rain; 50% Accuracy in Harsh Sunlight; Confuses Foe		30%														89			160
Head Charge	543	Normal	Physical	15	24	120	100%	4.17	0	Selected	25% Recoil		100%																	
Gear Grind	544	Steel	Physical	15	24	50	85%	4.17	0	Selected	Hits 2 Times		100%																	
Searing Shot	545	Fire	Special	5	8	100	100%	4.17	0	All Adjacent	Burns Foe		30%																	
Techno Blast	546	Normal	Special	5	8	120	100%	4.17	0	Selected																				
Relic Song	547	Normal	Special	10	16	75	100%	4.17	0	Adjacent Foes	Sleeps Foe; Changes Meloetta's Form		10%																	
Secret Sword	548	Fighting	Special	10	16	85	100%	4.17	0	Selected																				
Glaciate	549	Ice	Special	10	16	65	95%	4.17	0	Adjacent Foes	Lowers Foe's Spd by 1		100%																	
Bolt Strike	550	Electric	Physical	5	8	130	85%	4.17	0	Selected	Paralyzes Foe		20%																	
Blue Flare	551	Fire	Special	5	8	130	85%	4.17	0	Selected	Burns Foe		20%																	
Fiery Dance	552	Fire	Special	10	16	80	100%	4.17	0	Selected	Raises User's Sp. Atk by 1		50%																	
Freeze Shock	553	Ice	Physical	5	8	140	90%	4.17	0	Selected	Paralyzes Foe		30%																	
Ice Burn	554	Ice	Special	5	8	140	90%	4.17	0	Selected	Burns Foe		30%																	
Snarl	555	Dark	Special	15	24	55	95%	4.17	0	Adjacent Foes	Lowers Foe's Sp. Atk by 1		100%							95	95	95	95			85		78		30
Icicle Crash	556	Ice	Physical	10	16	85	90%	4.17	0	Selected	Flinches Foe		30%																	
V-create	557	Fire	Physical	5	8	180	95%	4.17	0	Selected	Lowers User's Def, Sp. Def, Spd by 1		100%																	
Fusion Flare	558	Fire	Special	5	8	100	100%	4.17	0	Selected	100% Damage if Ally Used Fusion Bolt		100%																	
Fusion Bolt	559	Electric	Physical	5	8	100	100%	4.17	0	Selected	100% Damage if Ally Used Fusion Flare		100%																	
Flying Press	560	Fighting	Physical	10	16	100	95%	4.17	0	Selected	This Move is Fighting and Flying-Type		100%																	
Mat Block	561	Fighting	Status	10	16	0	101%	None	0	All Allies	Protects Allies from Damaging Moves; Works Only on the First Turn Out		100%																	
Belch	562	Poison	Special	10	16	120	90%	4.17	0	Selected	Consumes a Held Berry; Fails if User is Not Holding a Berry		100%																	
Rototiller	563	Ground	Status	10	16	0	101%	None	0	All	Raises Atk and Sp. Atk by 1 for all Grass-Types		100%																	
Sticky Web	564	Bug	Status	20	32	0	101%	None	0	All Foes	Activates Sticky Web		100%																	
Fell Stinger	565	Bug	Physical	25	40	50	100%	4.17	0	Selected	Raises User's Atk by 3 if Foe is Knocked Out		100%																	
Phantom Force	566	Ghost	Physical	10	16	90	100%	4.17	0	Selected																86				151
Trick-or-Treat	567	Ghost	Status	20	32	0	100%	None	0	Selected																				
Noble Roar	568	Normal	Status	30	48	0	100%	None	0	Selected	Lowers Foe's Atk and Sp. Atk by 1		100%																	
Ion Deluge	569	Electric	Status	25	40	0	101%	None	1	All	Changes Foe's Normal-Type to Electric-Type		100%																	
Parabolic Charge	570	Electric	Special	20	32	65	100%	4.17	0	All Adjacent	50% Lifesteal		100%																	
Forest's Curse	571	Grass	Status	20	32	0	100%	None	0	Selected	Foe Gains the Grass-Type		100%																	
Petal Blizzard	572	Grass	Physical	15	24	90	100%	4.17	0	All Adjacent																				206
Freeze-Dry	573	Ice	Special	20	32	70	100%	4.17	0	Selected	Super Effective to Water-Types; Freezes Foe		10%																	
Disarming Voice	574	Fairy	Special	15	24	40	101%	4.17	0	Adjacent Foes																				19
Parting Shot	575	Dark	Status	20	32	0	100%	None	0	Selected	Lowers Foe's Atk and Sp. Atk by 1; User Switches Out		100%																	
Topsy-Turvy	576	Dark	Status	20	32	0	101%	None	0	Selected																				
Draining Kiss	577	Fairy	Special	10	16	50	100%	4.17	0	Selected	75% Lifesteal		100%													87				37
Crafty Shield	578	Fairy	Status	10	16	0	101%	None	3	All Allies	Prevents All Pokemon from Using Status Moves		100%																	
Flower Shield	579	Fairy	Status	10	16	0	101%	None	0	All	Raises Grass-Type Pokemon's Def by 1		100%																	
Grassy Terrain	580	Grass	Status	10	16	0	101%	None	0	All	Activates Grassy Terrain		100%													88				137
Misty Terrain	581	Fairy	Status	10	16	0	101%	None	0	All	Activates Misty Terrain		100%													89				139
Electrify	582	Electric	Status	20	32	0	101%	None	0	Selected	Foe Becomes Electric-Type This Turn		100%																	
Play Rough	583	Fairy	Physical	10	16	90	90%	4.17	0	Selected	Lowers Foe's Atk by 1		10%												44		90			127
Fairy Wind	584	Fairy	Special	30	48	40	100%	4.17	0	Selected																				
Moonblast	585	Fairy	Special	15	24	95	100%	4.17	0	Selected	Lowers Foe's Sp. Atk by 1		30%																	
Boomburst	586	Normal	Special	10	16	140	100%	4.17	0	All Adjacent																				
Fairy Lock	587	Fairy	Status	10	16	0	101%	None	0	All	Foe Can Not Switch Out This Turn		100%																	
King's Shield	588	Steel	Status	10	16	0	101%	None	4	Selected	Protects User from Attacks; Lowers Foe's Atk if Direct Contact is Made	Success: 1 / ((Successive Use)-1)^3)																		
Play Nice	589	Normal	Status	20	32	0	101%	None	0	Selected	Lowers Foe's Atk by 1		100%																	
Confide	590	Normal	Status	20	32	0	101%	None	0	Selected	Lowers Foe's Sp. Atk by 1		100%								100	100	100							
Diamond Storm	591	Rock	Physical	5	8	100	95%	4.17	0	Adjacent Foes	Raises User's Def by 2		50%																	
Steam Eruption	592	Water	Special	5	8	110	95%	4.17	0	Selected	Burns Foe		30%																	
Hyperspace Hole	593	Psychic	Special	5	8	80	101%	4.17	0	Selected	Ignores Any Protect Moves		100%																	
Water Shuriken	594	Water	Special	20	32	15	100%	4.17	1	Selected	Hits 2-5 Times; Hits 2 Times in Battle Bond		100%																	
Mystical Fire	595	Fire	Special	10	16	75	100%	4.17	0	Selected	Lowers Foe's Sp. Atk by 1		100%													92				
Spiky Shield	596	Grass	Status	10	16	0	101%	None	4	Selected																				
Aromatic Mist	597	Fairy	Status	20	32	0	101%	None	0	Adjacent Ally	Raises Ally's Sp. Def by 1		100%																	
Eerie Impulse	598	Electric	Status	15	24	0	100%	None	0	Selected	Lowers Foe's Sp. Atk by 2		100%													93				96
Venom Drench	599	Poison	Status	20	32	0	100%	None	0	Adjacent Foes	Lowers Foe's Atk, Sp. Atk, Spd if Foe is Poisoned		100%														91			
Powder	600	Bug	Status	20	32	0	100%	None	1	Selected																				
Geomancy	601	Fairy	Status	10	16	0	101%	None	0	Selected	On the Second Turn, Raises User's Sp. Atk, Sp. Def, Spd by 2		100%																	
Magnetic Flux	602	Electric	Status	20	32	0	101%	None	0	All Allies	Raises Ally's Def and Sp. Def by 1 if it has Plus or Minus Ability																			
Happy Hour	603	Normal	Status	30	48	0	101%	None	0	All Allies	Doubles Prize Money		100%																	
Electric Terrain	604	Electric	Status	10	16	0	101%	None	0	All	Activates Electric Terrain		100%													90				136
Dazzling Gleam	605	Fairy	Special	10	16	80	100%	4.17	0	Adjacent Foes											99	99	99		32		92	21		79
Celebrate	606	Normal	Status	40	64	0	101%	None	0	Selected																				
Hold Hands	607	Normal	Status	40	64	0	101%	None	0	Selected																				
Baby-Doll Eyes	608	Fairy	Status	30	48	0	100%	None	1	Selected	Lowers Foe's Atk by 1		100%																	
Nuzzle	609	Electric	Physical	20	32	20	100%	4.17	0	Selected	Paralyzes Foe		100%																	
Hold Back	610	Normal	Physical	40	64	40	100%	4.17	0	Selected	Leaves Foe with At Least 1 HP		100%																	
Infestation	611	Bug	Special	20	32	20	100%	4.17	0	Selected	Traps Foe		100%								83	83	83							
Power-Up Punch	612	Fighting	Physical	20	32	40	100%	4.17	0	Selected	Raises User's Atk by 1		100%								98	98								
Oblivion Wing	613	Flying	Special	10	16	80	100%	4.17	0	Selected	75% Lifesteal		100%																	
Thousand Arrows	614	Ground	Physical	10	16	90	100%	4.17	0	Adjacent Foes																				
Thousand Waves	615	Ground	Physical	10	16	90	100%	4.17	0	Adjacent Foes																				
Land's Wrath	616	Ground	Physical	10	16	90	100%	4.17	0	Adjacent Foes																				
Light of Ruin	617	Fairy	Special	5	8	140	90%	4.17	0	Selected	50% Recoil		100%																	
Origin Pulse	618	Water	Special	10	16	110	85%	4.17	0	Adjacent Foes																				
Precipice Blades	619	Ground	Physical	10	16	120	85%	4.17	0	Adjacent Foes																				
Dragon Ascent	620	Flying	Physical	5	8	120	100%	4.17	0	Selected	Lowers User's Def and Sp. Def by 1		100%																	
Hyperspace Fury	621	Dark	Physical	5	8	100	101%	4.17	0	Selected	Ignores Any Protect Moves; Lowers User's Def by 1		100%																	
Breakneck Blitz	622	Normal		1	1	--	--%	4.17	0	Selected																				
All-Out Pummeling	624	Fighting		1	1	--	--%	4.17	0	Selected																				
Supersonic Skystrike	626	Flying		1	1	--	--%	4.17	0	Selected																				
Acid Downpour	628	Poison		1	1	--	--%	4.17	0	Selected																				
Tectonic Rage	630	Ground		1	1	--	--%	4.17	0	Selected																				
Continental Crush	632	Rock		1	1	--	--%	4.17	0	Selected																				
Savage Spin-Out	634	Bug		1	1	--	--%	4.17	0	Selected																				
Never-Ending Nightmare	636	Ghost		1	1	--	--%	4.17	0	Selected																				
Corkscrew Crash	638	Steel		1	1	--	--%	4.17	0	Selected																				
Inferno Overdrive	640	Fire		1	1	--	--%	4.17	0	Selected																				
Hydro Vortex	642	Water		1	1	--	--%	4.17	0	Selected																				
Bloom Doom	644	Grass		1	1	--	--%	4.17	0	Selected																				
Gigavolt Havoc	646	Electric		1	1	--	--%	4.17	0	Selected																				
Shattered Psyche	648	Psychic		1	1	--	--%	4.17	0	Selected																				
Subzero Slammer	650	Ice		1	1	--	--%	4.17	0	Selected																				
Devastating Drake	652	Dragon		1	1	--	--%	4.17	0	Selected																				
Black Hole Eclipse	654	Dark		1	1	--	--%	4.17	0	Selected																				
Twinkle Tackle	656	Fairy		1	1	--	--%	4.17	0	Selected																				
Catastropika	658	Electric	Physical	1	1	210	--%	4.17	0	Selected																				
Shore Up	659	Ground	Status	5	8	0	101%	None	0	Selected																				
First Impression	660	Bug	Physical	10	16	90	100%	4.17	2	Selected	Works Only on the First Turn Out		100%																	
Baneful Bunker	661	Poison	Status	10	16	0	101%	None	4	Self	Protects User from Attacks; Poisons Foe if Direct Contact is Made	Success: 1 / ((Successive Use)-1)^3)	--%																	
Spirit Shackle	662	Ghost	Physical	10	16	80	100%	4.17	0	Selected	Traps Foe		100%																	
Darkest Lariat	663	Dark	Physical	10	16	85	100%	4.17	0	Selected	Ignores Stat Changes		100%														93			
Sparkling Aria	664	Water	Special	10	16	90	100%	4.17	0	All Adjacent	Heals Target's Burn		100%																	
Ice Hammer	665	Ice	Physical	10	16	100	90%	4.17	0	Selected	Lowers User's Spd by 1		100%																	
Floral Healing	666	Fairy	Status	10	16	0	101%	None	0	Selected	Heals 50% HP; Heals 66% HP in Grassy Terrain		100%																	
High Horsepower	667	Ground	Physical	10	16	95	95%	4.17	0	Selected																	94			186
Strength Sap	668	Grass	Status	10	16	0	100%	None	0	Selected	User Heals HP Equal to Foe's Atk; Lowers Foe's Atk by 1		100%																	
Solar Blade	669	Grass	Physical	10	16	125	100%	4.17	0	Selected																12				190
Leafage	670	Grass	Physical	40	64	40	100%	4.17	0	Selected																				
Spotlight	671	Normal	Status	15	24	0	101%	None	3	Selected																				
Toxic Thread	672	Poison	Status	20	32	0	100%	None	0	Selected	Poisons Foe; Lowers Foe's Spd by 1		100%																	
Laser Focus	673	Normal	Status	30	48	0	101%	None	0	Selected	User's Next Move will be a Critical Hit																			
Gear Up	674	Steel	Status	20	32	0	101%	None	0	All Allies	Raises Ally's Atk and Sp. Atk by 1 if it has Plus or Minus Ability		100%																	
Throat Chop	675	Dark	Physical	15	24	80	100%	4.17	0	Selected	Prevents Foe From Using Sound Moves for 2 Turns		100%														95			221
Pollen Puff	676	Bug	Special	15	24	90	100%	4.17	0	Selected	If Used on Ally, Heals 50% HP		100%														96			131
Anchor Shot	677	Steel	Physical	20	32	80	100%	4.17	0	Selected	Traps Foe		100%																	
Psychic Terrain	678	Psychic	Status	10	16	0	101%	None	0	All	Activates Psychic Terrain		100%													91				138
Lunge	679	Bug	Physical	15	24	80	100%	4.17	0	Selected	Lowers Foe's Atk by 1		100%																	185
Fire Lash	680	Fire	Physical	15	24	80	100%	4.17	0	Selected	Lowers Foe's Def by 1		100%																	
Power Trip	681	Dark	Physical	10	16	20	100%	4.17	0	Selected																				
Burn Up	682	Fire	Special	5	8	130	100%	4.17	0	Selected	User Loses Fire-Type; Fails if User is Not a Fire-Type		100%																	
Speed Swap	683	Psychic	Status	10	16	0	101%	None	0	Selected																62				
Smart Strike	684	Steel	Physical	10	16	70	101%	4.17	0	Selected													67			96				53
Purify	685	Poison	Status	20	32	0	101%	None	0	Selected																				
Revelation Dance	686	Normal	Special	15	24	90	100%	4.17	0	Selected																				
Core Enforcer	687	Dragon	Special	10	16	100	100%	4.17	0	Adjacent Foes	If Foe Already Used a Move This Turn, Negates Foe's Ability		100%																	
Trop Kick	688	Grass	Physical	15	24	70	100%	4.17	0	Selected	Lowers Foe's Atk by 1		100%																	
Instruct	689	Psychic	Status	15	24	0	101%	None	0	Selected	Target Uses its Last Move Again		100%																	
Beak Blast	690	Flying	Physical	15	24	100	100%	4.17	-3	Selected	Burns Foe if Direct Contact is Made		100%																	
Clanging Scales	691	Dragon	Special	5	8	110	100%	4.17	0	Adjacent Foes	Lowers User's Def by 1		100%																	
Dragon Hammer	692	Dragon	Physical	15	24	90	100%	4.17	0	Selected																				
Brutal Swing	693	Dark	Physical	20	32	60	100%	4.17	0	All Adjacent													59			97				
Aurora Veil	694	Ice	Status	20	32	0	101%	None	0	All Allies	Activates Aurora Veil; Fails if Not in Hail		100%										70							
Sinister Arrow Raid	695	Ghost	Physical	1	1	180	--%	4.17	0	Selected																				
Malicious Moonsault	696	Dark	Physical	1	1	180	--%	4.17	0	Selected																				
Oceanic Operetta	697	Water	Special	1	1	195	--%	4.17	0	Selected																				
Guardian of Alola	698	Fairy	Special	1	1	--	--%	4.17	0	Selected																				
Soul-Stealing 7-Star Strike	699	Ghost	Physical	1	1	195	--%	4.17	0	Selected																				
Stoked Sparksurfer	700	Electric	Special	1	1	175	--%	4.17	0	Selected	Paralyzes Foe		--%																	
Pulverizing Pancake	701	Normal	Physical	1	1	210	--%	4.17	0	Selected																				
Extreme Evoboost	702	Normal	Status	1	1	--	--%	None	0	Selected	Raises All of User's Stats by 2		100%																	
Genesis Supernova	703	Psychic	Special	1	1	185	--%	4.17	0	Selected	Activates Psychic Terrain		--%																	
Shell Trap	704	Fire	Special	5	8	150	100%	4.17	-3	Adjacent Foes																				
Fleur Cannon	705	Fairy	Special	5	8	130	90%	4.17	0	Selected	Lowers User's Sp. Atk by 2		100%																	
Psychic Fangs	706	Psychic	Physical	10	16	85	100%	4.17	0	Selected																	97			63
Stomping Tantrum	707	Ground	Physical	10	16	75	100%	4.17	0	Selected																98				84
Shadow Bone	708	Ghost	Physical	10	16	85	100%	4.17	0	Selected	Lowers Foe's Def by 1		20%																	
Accelerock	709	Rock	Physical	20	32	40	100%	4.17	1	Selected																				
Liquidation	710	Water	Physical	10	16	85	100%	4.17	0	Selected	Lowers Foe's Def by 1		20%														98			110
Prismatic Laser	711	Psychic	Special	10	16	160	100%	4.17	0	Selected																				
Spectral Thief	712	Ghost	Physical	10	16	90	100%	4.17	0	Selected																				
Sunsteel Strike	713	Steel	Physical	5	8	100	100%	4.17	0	Selected	Ignores Abilities		100%																	
Moongeist Beam	714	Ghost	Special	5	8	100	100%	4.17	0	Selected	Uses Foe's Last Move		100%																	
Tearful Look	715	Normal	Status	20	32	0	101%	None	0	Selected	Lowers Foe's Atk and Sp. Atk by 1		100%																	
Zing Zap	716	Electric	Physical	10	16	80	100%	4.17	0	Selected	Flinches Foe		30%																	
Nature's Madness	717	Fairy	Special	10	16	0	90%	4.17	0	Selected	Foe Loses 50% of Current HP		100%																	
Multi-Attack	718	Normal	Physical	10	16	120	100%	4.17	0	Selected	Move Type Depends on Memory Held		100%																	
10,000,000 Volt Thunderbolt	719	Electric	Special	1	1	195	--%	50	0	Selected																				
Mind Blown	720	Fire	Special	5	8	150	100%	4.17	0	All Adjacent	50% HP Recoil		100%																	
Plasma Fists	721	Electric	Physical	15	24	100	100%	4.17	0	Selected																				
Photon Geyser	722	Psychic	Special	5	8	100	100%	4.17	0	Selected	Ignores Abilities; Inflicts Higher of Physical or Special		100%																	
Light That Burns the Sky	723	Psychic	Special	1	1	200	--%	4.17	0	Selected	Ignores Abilities; Inflicts Higher of Physical or Special		--%																	
Searing Sunraze Smash	724	Steel	Physical	1	1	200	--%	4.17	0	Selected	Ignores Abilities		100%																	
Menacing Moonraze Maelstrom	725	Ghost	Special	1	1	200	--%	4.17	0	Selected	Ignores Abilities		--%																	
Let's Snuggle Forever	726	Fairy	Physical	1	1	190	--%	4.17	0	Selected																				
Splintered Stormshards	727	Rock	Physical	1	1	190	--%	4.17	0	Selected	Destroys Terrains		--%																	
Clangorous Soulblaze	728	Dragon	Special	1	1	185	--%	4.17	0	Adjacent Foes	Raises All of User's Stats by 1		100%																	
Zippy Zap	729	Electric	Physical	10	16	80	100%	4.17	2	Selected	Always Inflicts a Critical Hit		--%																	
Splishy Splash	730	Water	Special	15	24	90	100%	4.17	0	Adjacent Foes	Paralyzes Foe		30%																	
Floaty Fall	731	Flying	Physical	15	24	90	95%	4.17	0	Selected	Flinches Foe		30%																	
Pika Papow	732	Electric	Special	20	32	1	101%	4.17	0	Selected	More Damage the Higher the Happiness	Happiness / 2.5	--%																	
Bouncy Bubble	733	Water	Special	20	32	60	100%	4.17	0	Selected	50% Lifesteal																			
Buzzy Buzz	734	Electric	Special	20	32	60	100%	4.17	0	Selected	Paralyzes Foe		100%																	
Sizzly Slide	735	Fire	Physical	20	32	60	100%	4.17	0	Selected	Burns Foe		--%																	
Glitzy Glow	736	Psychic	Special	15	24	80	95%	4.17	0	Selected	Activates Reflect		--%																	
Baddy Bad	737	Dark	Special	15	24	80	95%	4.17	0	Selected	Activates Reflect		100%																	
Sappy Seed	738	Grass	Physical	10	16	100	90%	4.17	0	Selected	Seeds Foe		--%																	
Freezy Frost	739	Ice	Special	10	16	100	90%	4.17	0	Selected	Resets All Stat Changes		--%																	
Sparkly Swirl	740	Fairy	Special	5	8	120	85%	4.17	0	Selected	Heals Party's Status Conditions		--%																	
Veevee Volley	741	Normal	Physical	20	32	1	101%	4.17	0	Selected	More Damage the Higher the Happiness	Happiness / 2.5	--%																	
Double Iron Bash	742	Steel	Physical	5	8	60	100%	4.17	0	Selected	Hits 2 Times; Flinches Foe		30%																	
Max Geyser	743	Water	Physical	10	16	1	101%	4.17	0	Opponent	Activates Rain		--%																	
Dynamax Cannon	744	Dragon	Special	5	8	100	100%	4.17	0	Selected	100% Damage if Foe is Dynamaxed		100%																	
Snipe Shot	745	Water	Special	15	24	80	100%	12.5	0	Selected																				
Jaw Lock	746	Dark	Physical	10	16	80	100%	4.17	0	Selected	Traps User and Foe Until Either Faints or Leaves the Field		100%																	
Stuff Cheeks	747	Normal	Status	10	16	0	101%	None	0	Selected	Raises User's Def by 2		100%																	
No Retreat	748	Fighting	Status	5	8	0	101%	None	0	Selected	Traps User; Raises All of User's Stats by 1		100%																	
Tar Shot	749	Rock	Status	15	24	0	100%	None	0	Selected	Lowers Foe's Spd by 1; Foe Recieves Fire Weakness		100%																	
Magic Powder	750	Psychic	Status	20	32	0	100%	None	0	Selected	Foe Gains the Psychic-Type		100%																	
Dragon Darts	751	Dragon	Physical	10	16	50	100%	4.17	0	Selected	Hits 2 Times		100%																	
Teatime	752	Normal	Status	10	16	0	101%	None	0	All																				
Octolock	753	Fighting	Status	15	24	0	100%	None	0	Selected	Lowers Foe's Def and Sp. Def by 1 Every Turn; Traps Foe		100%																	
Bolt Beak	754	Electric	Physical	10	16	85	100%	4.17	0	Selected	100% Damage if User Moves Before Foe		100%																	
Fishious Rend	755	Water	Physical	10	16	85	100%	4.17	0	Selected	100% if User Moves Before Foe		100%																	
Court Change	756	Normal	Status	10	16	0	100%	None	0	All	Swaps Barriers, Screens, and Other Effects		100%																	
Max Flare	757	Fire	Physical	10	16	1	101%	4.17	0	Opponent	Causes Sunshine		--%																	
Max Flutterby	758	Bug	Physical	10	16	1	101%	4.17	0	Opponent	Lowers All Foe's Sp. Atk by 1		--%																	
Max Lightning	759	Electric	Physical	10	16	1	101%	4.17	0	Opponent	Activates Electric Terrain		--%																	
Max Strike	760	Normal	Physical	10	16	1	101%	4.17	0	Opponent	Lowers All Foe's Spd by 1		--%																	
Max Knuckle	761	Fighting	Physical	10	16	1	101%	4.17	0	Opponent	Raises Team's Atk by 1		--%																	
Max Phantasm	762	Ghost	Physical	10	16	1	101%	4.17	0	Opponent	Lowers All Foe's Def by 1		--%																	
Max Hailstorm	763	Ice	Physical	10	16	1	101%	4.17	0	Opponent	Activates Hailstorm		--%																	
Max Ooze	764	Poison	Physical	10	16	1	101%	4.17	0	Opponent	Raises Team's Sp. Atk by 1		--%																	
Max Guard	765	Normal	Status	10	16	1	101%	None	4	Self			--%																	
Max Airstream	766	Flying	Physical	10	16	1	101%	4.17	0	Opponent	Raises Team's Spd by 1		--%																	
Max Starfall	767	Fairy	Physical	10	16	1	101%	4.17	0	Opponent	Activates Misty Terrain		--%																	
Max Wyrmwind	768	Dragon	Physical	10	16	1	101%	4.17	0	Opponent	Lowers All Foe's Atk by 1		--%																	
Max Mindstorm	769	Psychic	Physical	10	16	1	101%	4.17	0	Opponent	Activates Psychic Terrain		--%																	
Max Rockfall	770	Rock	Physical	10	16	1	101%	4.17	0	Opponent	Activates Sandstorm		--%																	
Max Quake	771	Ground	Physical	10	16	1	101%	4.17	0	Opponent	Raises Team's Sp. Def by 1		--%																	
Max Darkness	772	Dark	Physical	10	16	1	101%	4.17	0	Opponent	Lowers All Foe's Sp. Def by 1		--%																	
Max Overgrowth	773	Grass	Physical	10	16	1	101%	4.17	0	Opponent	Activates Grassy Terrain		--%																	
Max Steelspike	774	Steel	Physical	10	16	1	101%	4.17	0	Opponent	Raises Team's Def by 1		--%																	
Clangorous Soul	775	Dragon	Status	5	8	0	101%	None	0	Selected	User Loses 33% HP; Raises All of User's Stats by 1		100%																	
Body Press	776	Fighting	Physical	10	16	80	100%	4.17	0	Selected	Uses User's Def Stat for Damage Instead of Atk Stat		100%														99			89
Decorate	777	Fairy	Status	15	24	0	101%	None	0	Selected	Raises Target's Atk and Sp. Atk by 2		100%																	
Drum Beating	778	Grass	Physical	10	16	80	100%	4.17	0	Selected	Lowers Foe's Spd by 1		100%																	
Snap Trap	779	Grass	Physical	15	24	35	100%	4.17	0	Selected																				
Pyro Ball	780	Fire	Physical	5	8	120	90%	4.17	0	Selected	Burns Foe		10%																	
Behemoth Blade	781	Steel	Physical	5	8	100	100%	4.17	0	Selected	100% Damage if Foe is Dynamaxed		100%																	
Behemoth Bash	782	Steel	Physical	5	8	100	100%	4.17	0	Selected	100% Damage if Foe is Dynamaxed		100%																	
Aura Wheel	783	Electric	Physical	10	16	110	100%	4.17	0	Selected	Raises User's Spd by 1; Changes to Dark-Type if in Hangry Mode		100%																	
Breaking Swipe	784	Dragon	Physical	15	24	60	100%	4.17	0	Adjacent Foes	Lowers All Foe's Atk by 1		100%													99				222
Branch Poke	785	Grass	Physical	40	64	40	100%	4.17	0	Selected																				
Overdrive	786	Electric	Special	10	16	80	100%	4.17	0	Adjacent Foes																				
Apple Acid	787	Grass	Special	10	16	80	100%	4.17	0	Selected	Lowers Foe's Sp. Def by 1		100%																	
Grav Apple	788	Grass	Physical	10	16	80	100%	4.17	0	Selected	Lowers Foe's Def by 1; 120 BP if in Gravity		100%																	
Spirit Break	789	Fairy	Physical	15	24	75	100%	4.17	0	Selected	Lowers Foe's Sp. Atk by 1		100%																	
Strange Steam	790	Fairy	Special	10	16	90	95%	4.17	0	Selected	Confuses Foe		20%																	
Life Dew	791	Water	Status	10	16	0	101%	None	0	All Allies	Heals All Allies 25% HP		100%																	
Obstruct	792	Dark	Status	10	16	0	100%	None	4	Selected	Protects User from Attacks; Lowers Foe's Def by 2 if Direct Contact is Made	Success: 1 / ((Successive Use)-1)^3)	100%																	
False Surrender	793	Dark	Physical	10	16	80	101%	4.17	0	Selected																				
Meteor Assault	794	Fighting	Physical	5	8	150	100%	4.17	0	Selected	User Can Not Attack Next Turn																			
Eternabeam	795	Dragon	Special	5	8	160	90%	4.17	0	Selected	User Can Not Attack Next Turn		100%																	
Steel Beam	796	Steel	Special	5	8	140	95%	4.17	0	Selected																				
Expanding Force	797	Psychic	Special	10	16	80	100%	4.17	0	Adjacent Foes	50% Damage in Psychic Terrain		100%																	218
Steel Roller	798	Steel	Physical	5	8	130	100%	4.17	0	Selected																				
Scale Shot	799	Dragon	Physical	20	32	25	90%	4.17	0	Selected	Hits 2-5 Times; Raises User's Spd by 1; Lowers User's Def by 1		100%																	200
Meteor Beam	800	Rock	Special	10	16	120	90%	4.17	0	Selected	Raises User's Sp. Atk by 1; Attacks Next Turn		100%																	220
Shell Side Arm	801	Poison	Special	10	16	90	100%	4.17	0	Selected	Poisons Foe		20%																	
Misty Explosion	802	Fairy	Special	5	8	100	100%	4.17	0	Selected	User Faints; 50% Damage in Misty Terrain		100%																	201
Grassy Glide	803	Grass	Physical	20	32	55	100%	4.17	0	Selected	1 Priority in Grassy Terrain		100%																	194
